Cypher,fracture,3,2023-07-18,0.8,11,13.6,4.5,49.0,2.5,163,0.1,4516
Chamber,fracture,3,2023-07-18,0.85,11.9,13.9,3.4,48.4,2.0,176,0.1,3612
Phoenix,fracture,3,2023-07-18,0.85,12.1,14.2,4.1,48.2,4.8,182,0.1,8934
Omen,fracture,3,2023-07-18,0.79,11.4,14.4,4.5,48.2,5.5,168,0.1,10186
Sova,fracture,3,2023-07-18,0.76,10.8,14.2,4.6,48.0,3.8,164,0.1,7012
KAY/O,fracture,3,2023-07-18,0.73,10.5,14.4,7.1,47.6,2.4,163,0.1,4482
Harbor,fracture,3,2023-07-18,0.72,10.1,14.1,4.7,47.6,0.8,156,0.1,1488
Neon,fracture,3,2023-07-18,0.8,11.7,14.6,3.8,47.3,4.4,178,0.2,8166
Yoru,fracture,3,2023-07-18,0.81,11.7,14.4,4,47.1,4.9,174,0.1,9072
Astra,fracture,3,2023-07-18,0.85,11.4,13.4,4.2,46.3,0.5,171,0.1,879
Killjoy,pearl,3,2023-07-18,0.81,10.9,13.5,4.1,51.6,3.9,167,0.1,7200
Sage,pearl,3,2023-07-18,0.7,9.9,14,5.9,51.0,12.2,148,0.1,22488
Cypher,pearl,3,2023-07-18,0.8,10.9,13.6,4.6,50.7,2.5,160,0.1,4538
Skye,pearl,3,2023-07-18,0.75,10.5,14.1,6.7,50.3,3.8,160,0.1,7091
Viper,pearl,3,2023-07-18,0.77,10.8,14,4.8,50.3,3.7,164,0.1,6769
Raze,pearl,3,2023-07-18,0.86,12.4,14.4,4.6,50.2,7.3,192,0.1,13507
Chamber,pearl,3,2023-07-18,0.87,12,13.8,3.4,50.2,2.3,177,0.1,4313
Brimstone,pearl,3,2023-07-18,0.81,11.3,13.9,5.6,50.0,3.4,172,0.1,6280
Gekko,pearl,3,2023-07-18,0.75,10.8,14.4,4.5,49.9,5.1,158,0.1,9497
Harbor,pearl,3,2023-07-18,0.74,10.5,14.2,5,49.9,1.2,159,0.1,2171
Reyna,pearl,3,2023-07-18,0.95,13.7,14.3,4.4,49.9,10.4,203,0.2,19185
Astra,pearl,3,2023-07-18,0.89,11.8,13.2,4.4,49.7,0.6,175,0.1,1152
Breach,pearl,3,2023-07-18,0.83,11.8,14.2,5.1,49.5,1.4,176,0.1,2493
KAY/O,pearl,3,2023-07-18,0.73,10.5,14.5,6.9,49.4,2.5,163,0.1,4596
Sova,pearl,3,2023-07-18,0.75,10.7,14.2,4.7,49.1,3.8,162,0.1,7069
Deadlock,pearl,3,2023-07-18,0.81,11.5,14.3,3.8,49.0,6.1,173,0.1,11246
Omen,pearl,3,2023-07-18,0.81,11.6,14.4,4.6,48.6,5.6,171,0.1,10339
Fade,pearl,3,2023-07-18,0.71,10.3,14.4,5.8,48.5,4.0,157,0.1,7457
Phoenix,pearl,3,2023-07-18,0.86,12.2,14.2,4.1,48.2,4.8,182,0.1,8774
Jett,pearl,3,2023-07-18,0.87,12.6,14.5,3.7,48.0,6.0,187,0.2,11130
Yoru,pearl,3,2023-07-18,0.83,12,14.4,4,47.8,5.1,177,0.1,9459
Neon,pearl,3,2023-07-18,0.8,11.8,14.7,3.9,47.3,4.3,179,0.2,7907
Killjoy,split,3,2023-07-18,0.81,11.1,13.7,3.9,52.6,3.7,168,0.1,6949
Raze,split,3,2023-07-18,0.88,12.8,14.6,4.7,51.0,8.0,198,0.1,14986
Cypher,split,3,2023-07-18,0.82,11.2,13.7,4.6,50.9,2.6,165,0.1,4930
Sage,split,3,2023-07-18,0.72,10.1,14,5.9,50.7,12.6,150,0.1,23581
Astra,split,3,2023-07-18,0.89,11.6,13,4.2,50.3,0.6,174,0.1,1086
Omen,split,3,2023-07-18,0.83,12,14.4,4.6,50.0,6.3,176,0.1,11740
Breach,split,3,2023-07-18,0.82,11.8,14.4,4.8,49.9,1.4,176,0.1,2634
Harbor,split,3,2023-07-18,0.75,11,14.6,4.8,49.9,0.8,163,0.1,1585
Skye,split,3,2023-07-18,0.76,10.7,14.2,6.7,49.8,3.9,163,0.1,7367
Reyna,split,3,2023-07-18,0.95,13.7,14.5,4.3,49.7,10.3,203,0.2,19326
Gekko,split,3,2023-07-18,0.74,10.7,14.5,4.2,49.6,5.0,157,0.1,9256
Sova,split,3,2023-07-18,0.77,10.8,14.1,4.5,49.0,3.8,163,0.1,7025
Phoenix,split,3,2023-07-18,0.86,12.3,14.3,4,48.7,4.8,184,0.1,8948
Viper,split,3,2023-07-18,0.76,10.8,14.3,4.5,48.7,3.4,161,0.1,6351
KAY/O,split,3,2023-07-18,0.74,10.8,14.6,7,48.4,2.4,165,0.1,4578
Brimstone,split,3,2023-07-18,0.8,11.4,14.3,5.6,48.3,3.6,173,0.1,6647
Fade,split,3,2023-07-18,0.72,10.5,14.6,5.6,48.1,3.8,157,0.1,7083
Deadlock,split,3,2023-07-18,0.81,11.6,14.3,3.7,47.8,6.0,173,0.1,11250
Jett,split,3,2023-07-18,0.86,12.6,14.6,3.6,47.8,5.9,188,0.2,11084
Neon,split,3,2023-07-18,0.79,11.7,14.9,3.7,47.7,4.2,176,0.2,7889
Yoru,split,3,2023-07-18,0.83,12.1,14.6,3.8,47.3,4.9,177,0.1,9167
Chamber,split,3,2023-07-18,0.84,11.9,14.2,3.2,46.3,1.9,174,0.1,3495
Killjoy,bind,3,2023-07-18,0.81,11,13.6,3.8,52.0,3.7,167,0.1,6946
Brimstone,bind,3,2023-07-18,0.82,11.5,14,5.3,50.7,4.1,174,0.1,7623
Sage,bind,3,2023-07-18,0.72,10.2,14.2,5.5,50.5,12.2,152,0.1,22751
Harbor,bind,3,2023-07-18,0.75,10.7,14.3,4.6,50.1,0.9,161,0.1,1703
Gekko,bind,3,2023-07-18,0.75,10.9,14.6,4.2,49.9,5.1,160,0.1,9473
Omen,bind,3,2023-07-18,0.83,11.9,14.4,4.4,49.9,5.7,175,0.1,10671
Skye,bind,3,2023-07-18,0.75,10.8,14.2,6.1,49.8,3.9,162,0.1,7355
Chamber,bind,3,2023-07-18,0.85,12,14.1,3.2,49.7,2.0,175,0.1,3733
Reyna,bind,3,2023-07-18,0.95,13.9,14.5,4.1,49.5,10.5,204,0.2,19706
Cypher,bind,3,2023-07-18,0.82,11.4,13.8,4.4,49.4,2.6,165,0.1,4891
Viper,bind,3,2023-07-18,0.76,10.9,14.3,4.3,49.4,3.4,163,0.1,6294
Jett,bind,3,2023-07-18,0.86,12.5,14.5,3.5,49.2,5.9,185,0.2,11058
Raze,bind,3,2023-07-18,0.87,12.7,14.6,4.4,49.1,8.0,195,0.1,14931
Sova,bind,3,2023-07-18,0.77,11,14.2,4.4,49.0,3.7,165,0.1,6976
Neon,bind,3,2023-07-18,0.8,11.8,14.8,3.6,49.0,4.1,177,0.2,7754
Astra,bind,3,2023-07-18,0.86,11.4,13.3,4.1,48.9,0.5,170,0.1,932
Deadlock,bind,3,2023-07-18,0.8,11.5,14.5,3.7,48.6,6.1,168,0.1,11455
Fade,bind,3,2023-07-18,0.72,10.5,14.7,5.5,48.2,3.9,158,0.1,7256
Breach,bind,3,2023-07-18,0.82,11.7,14.3,4.7,47.8,1.4,175,0.1,2600
Yoru,bind,3,2023-07-18,0.81,11.9,14.6,3.8,47.6,5.0,175,0.1,9265
Phoenix,bind,3,2023-07-18,0.84,12.1,14.4,3.8,47.0,4.9,181,0.2,9144
KAY/O,bind,3,2023-07-18,0.73,10.7,14.7,6.6,46.9,2.4,164,0.1,4531
Killjoy,ascent,3,2023-07-18,0.82,11.1,13.6,4.2,51.4,4.4,168,0.1,8143
Raze,ascent,3,2023-07-18,0.88,12.7,14.5,4.9,51.2,7.8,198,0.1,14467
Astra,ascent,3,2023-07-18,0.9,11.8,13.2,4.6,51.1,0.5,175,0.1,969
Cypher,ascent,3,2023-07-18,0.8,11,13.7,4.6,50.5,2.3,161,0.1,4287
Reyna,ascent,3,2023-07-18,0.94,13.6,14.5,4.3,50.0,10.3,201,0.2,19034
Sage,ascent,3,2023-07-18,0.72,10.1,13.9,5.9,49.8,12.4,151,0.1,22868
Sova,ascent,3,2023-07-18,0.79,11.2,14.1,4.9,49.6,4.5,168,0.1,8236
Brimstone,ascent,3,2023-07-18,0.81,11.4,14.1,6,49.5,3.6,174,0.1,6720
Skye,ascent,3,2023-07-18,0.75,10.6,14.2,6.8,49.3,3.8,160,0.1,6957
Omen,ascent,3,2023-07-18,0.82,11.8,14.4,4.8,49.2,6.1,174,0.1,11334
Deadlock,ascent,3,2023-07-18,0.79,11.4,14.4,3.8,49.0,5.8,166,0.1,10751
Phoenix,ascent,3,2023-07-18,0.85,12.1,14.3,4.1,48.9,4.8,183,0.2,8974
Gekko,ascent,3,2023-07-18,0.73,10.7,14.5,4.4,48.8,5.0,157,0.1,9171
Jett,ascent,3,2023-07-18,0.86,12.6,14.6,3.6,48.3,6.3,187,0.2,11604
Viper,ascent,3,2023-07-18,0.76,10.7,14.1,4.5,48.3,3.0,161,0.1,5540
Chamber,ascent,3,2023-07-18,0.86,12.2,14.1,3.2,48.1,1.9,178,0.2,3569
Fade,ascent,3,2023-07-18,0.71,10.3,14.5,5.7,48.1,3.8,156,0.1,7092
Neon,ascent,3,2023-07-18,0.78,11.5,14.7,3.7,47.6,4.1,173,0.2,7589
